"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"806822132147552260","","30973","2016-12-08 11:26:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@starbucks Even w/multiple staff here, English expertise is far less than virtually all of the dozens/100's of *Thai* cafes I've visited.","","","",""
"806821485994090501","","30973","2016-12-08 11:23:26 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@starbucks Also, I realize I should speak Thai, but for cust. svc could you have an English speaking rep available by phone &amp; inform staff?","","","",""
"806820454795091968","","30973","2016-12-08 11:19:21 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@starbucks Your new Ram location in Chiang Mai, Thailand is beautiful, but the parking is motorbike-hostile, too far. I may not return.","","","",""
"806543208616341505","","","2016-12-07 16:57:40 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Instant karaoke friends from Singapore and Thailand at a Japanese karaoke restaurant in Chiang Mai. https://t.co/7Sz4ES5tHU","","","","https://twitter.com/keithrbennett/status/806543208616341505/photo/1"
"806042035413086208","","22919665","2016-12-06 07:46:11 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@airasia Thanks for all you do. Could you provide a way to save an entire chat conversation in your chat window? Currently not possible.","","","",""
"805807307938402304","","","2016-12-05 16:13:28 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Photo of Elvis with King Bhumibol of Thailand (also a formidable musician), as seen in Duke's Restaurant in Chiang Mai. https://t.co/ATRJzbwIRq","","","","https://twitter.com/keithrbennett/status/805807307938402304/photo/1"
"805693329048383488","","","2016-12-05 08:40:33 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","A coconut shredder at Mango Mania in Central Festival Mall in Chiang Mai. https://t.co/8nFVy7vwCJ","","","","https://twitter.com/keithrbennett/status/805693329048383488/photo/1"
"805687761290153984","","","2016-12-05 08:18:25 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Bought a pair of pants in Central dept. store in Chiang Mai. They cut them to my length on the spot. https://t.co/BRQJsJhT1W","","","","https://twitter.com/keithrbennett/status/805687761290153984/photo/1"
"805352048552120320","","","2016-12-04 10:04:25 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","An Italian homeless invalid was dumped at a hotel here in Thailand. Can anyone translate Italian or Spanish to Thai or English by phone?","","","",""
"805089355228266496","","","2016-12-03 16:40:34 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @stilkov: ""This is the most dangerous time for our planet"" – Stephen Hawking  https://t.co/LRGKdaOXcm","805020430985818112","5325152","2016-12-03 12:06:41 +0000","https://www.theguardian.com/commentisfree/2016/dec/01/stephen-hawking-dangerous-time-planet-inequality,https://www.theguardian.com/commentisfree/2016/dec/01/stephen-hawking-dangerous-time-planet-inequality"
"805050063768535040","","","2016-12-03 14:04:26 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","People who think all Arabs &amp; Muslims are terrorists, please read this: https://t.co/kKaQX5pTI5 Love of peace &amp; brotherhood is universal.","","","","http://www.timesofisrael.com/israeli-arabs-donate-wood-to-rebuild-burned-haifa-synagogue/"
"803512424158478336","","","2016-11-29 08:14:25 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","A New Yorker cartoon that's a spot-on accurate satire of communication style of much of America these days: https://t.co/xePWWbVJFH","","","","http://www.newyorker.com/cartoons/a20602"
"802894092262785024","802873647467810816","15954702","2016-11-27 15:17:23 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@allie_p He was a very lucky man to have a granddaughter who loved him so much.","","","",""
"802780303949320192","","","2016-11-27 07:45:14 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","A gaming theater at Pantip Plaza! https://t.co/FBbpRHAOpI","","","","https://twitter.com/keithrbennett/status/802780303949320192/photo/1"
"802776135369048064","","","2016-11-27 07:28:40 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Man and man's best friend on a motorcycle in central Bangkok, as seen on a motorcycle taxi en route to Pantip Plaza, the tech shopping hub. https://t.co/GKb2YjjuZj","","","","https://twitter.com/keithrbennett/status/802776135369048064/photo/1"
"802518625328345088","","","2016-11-26 14:25:25 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Evening football game just outside of National Stadium, Bangkok. https://t.co/4GJjvEvTBj","","","","https://twitter.com/keithrbennett/status/802518625328345088/photo/1"
"802473167390244864","","","2016-11-26 11:24:46 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Bangkok Skytrain well named -- 91 stair steps from the street to the platform. https://t.co/mbXecZqs9m","","","","https://twitter.com/keithrbennett/status/802473167390244864/photo/1"
"801777218598772736","801722491815088128","14401983","2016-11-24 13:19:19 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@keithrbennett Correction: American, Chinese, and British.","","","",""
"801722491815088128","","","2016-11-24 09:41:51 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Midday Thanksgiving dinner with some American and Chinese expat friends in Chiang Mai. https://t.co/cBhfVz2d74","","","","https://twitter.com/keithrbennett/status/801722491815088128/photo/1"
"800707546281627652","","","2016-11-21 14:28:50 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Beautiful Hong Kong as viewed from the ferry to Kowloon. Here for a couple of days for a Thai visa run. https://t.co/jK0rwTDOgd","","","","https://twitter.com/keithrbennett/status/800707546281627652/photo/1"
"800360294341971968","","","2016-11-20 15:28:58 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","A coder's ballad sung beautifully (and satirically) in the style of Joan Baez/ Mary Travers. https://t.co/SYL8FRPiUT https://t.co/fALGZEjzK9","","","","https://www.gnu.org/fun/jokes/eternal-flame.ogg,https://www.gnu.org/fun/jokes/eternal-flame.en.html"
"800334603449868288","","","2016-11-20 13:46:53 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Shavers, we can help the environment a little and get a better shave by using tubes like this instead of cans. https://t.co/8fQ9XQvOw7","","","","https://twitter.com/keithrbennett/status/800334603449868288/photo/1"
"799357055404359681","799343343000027137","790205","2016-11-17 21:02:28 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@chadfowler How has your sleep been lately? Could be the result of inadequate quantity and/or quality of sleep. Sleep apnea maybe?","","","",""
"799106436949110784","","","2016-11-17 04:26:35 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Excellent article about distributed teams by @russolsen : https://t.co/zyXhCM5Nei","","","","http://blog.cognitect.com/blog/2016/11/14/works-on-my-machine-how-we-work-distributed"
"797307683372023808","797194034699784192","9989362","2016-11-12 05:18:59 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@headius Maybe ask a Korean restaurant, they might know of norae bangs in the area or host you themselves. Check song selection though.","","","",""
"795955725822349312","","","2016-11-08 11:46:47 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @funkatron: Just so you have some info. @ACLUIndiana @ACLU is looking out for you. https://t.co/hs2y3DBbL1","795661931264753665","65583","2016-11-07 16:19:21 +0000","https://twitter.com/funkatron/status/795661931264753665/photo/1,https://twitter.com/funkatron/status/795661931264753665/photo/1"
